id	code	country	indicator	citations	fsize	links
626	TLS	east timor	2.671746667	287	1825108	4556
882	WSM	samoa	0.782051178	209	1577359	4175
392	JPN	japan	-0.174866976	3366	16441329	44822
31	AZE	azerbaijan	1.293447027	2002	9390161	24439
408	PRK	north korea	0.53280653	2085	8090788	17766
262	DJI	djibouti	1.533000429	155	1819059	5571
470	MLT	malta	0.929969957	685	4545131	14276
624	GNB	guinea-bissau	2.416938298	286	1784413	5321
348	HUN	hungary	-0.267110802	1099	6609895	16810
196	CYP	cyprus	1.0723576	860	4993330	13832
52	BRB	barbados	0.501176504	342	2542869	7487
64	BTN	bhutan	1.621275155	552	3132760	8245
398	KAZ	kazakhstan	1.441785478	760	5030223	15433
440	LTU	lithuania	-1.012007368	505	2661259	8709
178	COG	republic of the congo	2.517719565	141	1469208	3847
583	FSM	micronesia	0.148832562	159	1195659	3795
20	AND	andorra	1.088995265	394	2196134	6844
516	NAM	namibia	1.925319646	704	4735890	11635
646	RWA	rwanda	2.743708039	967	3336595	8388
32	ARG	argentina	0.870731749	990	5511252	15099
288	GHA	ghana	2.099257407	947	8538852	21475
688	SRB	serbia	-0.486591387	1151	9300724	29834
36	AUS	australia	1.748936802	2755	11101694	28276
192	CUB	cuba	-0.047283116	1614	7528766	21710
894	ZMB	zambia	3.240272491	402	2458163	5416
320	GTM	guatemala	2.522942047	1322	4848474	13327
56	BEL	belgium	0.489184301	1488	10269267	29189
332	HTI	haiti	1.402437169	1113	5020928	12590
854	BFA	burkina faso	2.843121785	259	1527119	4376
430	LBR	liberia	2.443208413	365	1718839	3951
417	KGZ	kyrgyzstan	1.984738667	533	3545032	10445
620	PRT	portugal	-0.548815211	647	4092352	13893
208	DNK	denmark	0.416901361	2063	11934319	37996
608	PHL	philippines	1.729214874	2188	15381963	47504
686	SEN	senegal	2.923892555	623	2955926	7496
498	MDA	moldova	-0.026776865	644	2743879	7589
180	COD	democratic republic of the congo	2.715375806	909	5917790	13487
428	LVA	latvia	-1.071034803	794	5572986	17451
191	HRV	croatia	-0.278250586	1843	9363305	26635
70	BIH	bosnia and herzegovina	-0.120288828	1276	9077454	26947
144	LKA	sri lanka	0.75960278	1869	11872045	31454
780	TTO	trinidad and tobago	0.277160922	216	3222597	9394
100	BGR	bulgaria	-0.559647217	1797	9396414	26534
388	JAM	jamaica	0.255563077	363	3393538	9123
8	ALB	albania	-0.107729507	1535	8302985	23141
24	AGO	angola	3.079269101	727	4117112	11212
384	CIV	ivory coast	2.372548508	262	2167518	5976
422	LBN	lebanon	0.955937807	2103	10491745	28502
458	MYS	malaysia	1.618295655	1583	8991892	26779
508	MOZ	mozambique	2.470314635	510	3320356	8927
764	THA	thailand	0.337083397	1742	10201818	25955
300	GRC	greece	-0.589703847	3233	12349644	35028
558	NIC	nicaragua	1.47026255	723	3757972	9785
562	NER	niger	3.854495603	711	3238542	8754
124	CAN	canada	1.150553872	3417	14180797	41982
4	AFG	afghanistan	2.408806909	3010	12811496	34286
634	QAT	qatar	5.602496633	325	2200454	5911
585	PLW	palau	0.787103315	120	1516509	4406
226	GNQ	equatorial guinea	2.774953553	167	1412177	3962
729	SDN	sudan	2.046267592	748	5011562	13750
324	GIN	guinea	2.534280708	225	1499153	3969
591	PAN	panama	1.614576144	453	3567520	10326
524	NPL	nepal	1.169071682	1983	12359198	31019
140	CAF	central african republic	1.995509915	557	2733055	6687
442	LUX	luxembourg	2.311176253	445	4297239	12666
716	ZWE	zimbabwe	3.05205245	1994	7759641	18564
748	SWZ	swaziland	1.49400138	174	1305466	3510
706	SOM	somalia	2.904395435	2758	11573292	30219
798	TUV	tuvalu	0.162140287	925	3622703	8914
862	VEN	venezuela	1.492489871	1002	5647358	14170
96	BRN	brunei	1.336370009	491	3348866	9852
364	IRN	iran	1.329342111	5882	20529075	53463
784	ARE	united arab emirates	1.514471226	556	3552603	8937
466	MLI	mali	2.972029068	625	3401409	9256
682	SAU	saudi arabia	1.894475501	1666	10453381	29624
659	KNA	saint kitts and nevis	1.126432695	59	1396862	3739
756	CHE	switzerland	1.131693692	900	7055535	23274
600	PRY	paraguay	1.704072828	192	2667817	6873
156	CHN	china	0.493709634	3598	15920522	47263
51	ARM	armenia	0.251780974	3008	13593125	39051
296	KIR	kiribati	1.540862535	112	990189	3050
84	BLZ	belize	2.390503489	414	3294506	10922
788	TUN	tunisia	1.006286187	1217	5287228	14404
804	UKR	ukraine	-0.22770475	3680	18180124	51204
434	LBY	libya	0.75910778	1912	8030270	20645
270	GMB	gambia	3.189933457	363	2260222	6453
246	FIN	finland	0.460723773	656	5122395	13520
480	MUS	mauritius	0.220398692	224	2507536	7547
28	ATG	antigua and barbuda	1.023163952	55	1282394	3375
233	EST	estonia	-0.355891803	981	5722888	17295
760	SYR	syria	1.972869528	3049	14605831	40095
214	DOM	dominican republic	1.229586589	428	3088770	8806
104	MMR	burma	0.870672946	2410	9196976	20975
586	PAK	pakistan	1.650998293	4205	21477320	68229
642	ROU	romania	-0.383008273	789	5283644	15969
690	SYC	seychelles	0.980422107	66	1450952	4500
203	CZE	czech republic	0.033169946	348	3304578	9155
818	EGY	egypt	1.639695577	3001	11672118	30922
598	PNG	papua new guinea	2.129416519	387	3195466	8519
840	USA	united states	0.715922094	15304	52182114	151469
40	AUT	austria	0.589387255	1311	10892096	32445
496	MNG	mongolia	1.511467661	1667	8899314	27064
170	COL	colombia	1.285042738	1023	7038812	20089
340	HND	honduras	2.018862428	722	3315102	6948
554	NZL	new zealand	0.768347998	1427	6201233	15155
242	FJI	fiji	0.720241727	343	2428571	6108
174	COM	comoros	2.398043886	109	1375712	3984
792	TUR	turkey	1.256330834	2857	14049568	44033
826	GBR	united kingdom	0.636084282	8628	35289924	107339
450	MDG	madagascar	2.790779225	635	4426741	10294
368	IRQ	iraq	2.543536739	2568	11919538	33762
50	BGD	bangladesh	1.220479659	3254	19238292	57315
478	MRT	mauritania	2.439328441	494	2817073	7565
858	URY	uruguay	0.347205675	454	3979898	10642
250	FRA	france	0.441215465	1730	10752330	34546
44	BHS	bahamas	1.445041653	400	2513540	6910
703	SVK	slovakia	0.107458009	567	4087803	11688
372	IRL	ireland	0.232153237	1615	6484724	16329
418	LAO	laos	1.847162225	410	2605137	6778
410	KOR	south korea	0.429494122	1484	6604974	14929
68	BOL	bolivia	1.652713881	402	3681253	10308
454	MWI	malawi	2.826946398	750	3050315	7024
218	ECU	ecuador	1.572961558	898	5252818	12692
376	ISR	israel	1.866052895	7951	25677910	65553
604	PER	peru	1.284912103	633	5381479	16059
12	DZA	algeria	1.870282202	721	6797727	19565
674	SMR	san marino	0.641201655	66	802513	1998
834	TZA	tanzania	3.030067069	556	4721413	11868
499	MNE	montenegro	0.048613079	1239	6874308	19854
762	TJK	tajikistan	2.452440331	569	3856874	11733
768	TGO	togo	2.586402177	74	1478904	4415
400	JOR	jordan	2.222661541	914	5592938	15060
152	CHL	chile	0.882981996	1430	7410887	19636
512	OMN	oman	9.174947921	244	2740041	7050
566	NGA	nigeria	2.792753424	1168	7926035	20332
724	ESP	spain	-0.332431053	3334	16565176	45770
268	GEO	georgia	-0.07796924	1722	7851210	21567
578	NOR	norway	1.219830788	1151	7215017	20016
694	SLE	sierra leone	1.878107714	610	3195183	7907
504	MAR	morocco	1.486406901	1463	8889048	23442
752	SWE	sweden	0.847348652	2004	10834574	30870
