id	code	country	indicator	citations	fsize	links
626	TLS	east timor	4.91735657559192E+01	287	1825108	4556
882	WSM	samoa	4.84404219107852E+01	209	1577359	4175
392	JPN	japan	5.13482037712373E+01	3366	16441329	44822
31	AZE	azerbaijan	5.03093031013171E+01	2002	9390161	24439
408	PRK	north korea	5.11218421978608E+01	2085	8090788	17766
262	DJI	djibouti	4.97692832889618E+01	155	1819059	5571
470	MLT	malta	5.00142189816412E+01	685	4545131	14276
624	GNB	guinea-bissau	5.02893052976227E+01	286	1784413	5321
348	HUN	hungary	5.24797284082347E+01	1099	6609895	16810
196	CYP	cyprus	4.89286396545288E+01	860	4993330	13832
52	BRB	barbados	5.01085566532230E+01	342	2542869	7487
64	BTN	bhutan	4.62689021907375E+01	552	3132760	8245
398	KAZ	kazakhstan	5.18511323136535E+01	760	5030223	15433
440	LTU	lithuania	5.39585068677362E+01	505	2661259	8709
178	COG	republic of the congo	5.00114667760282E+01	141	1469208	3847
583	FSM	micronesia	4.88319539541666E+01	159	1195659	3795
20	AND	andorra		394	2196134	6844
516	NAM	namibia	5.14515817419676E+01	704	4735890	11635
646	RWA	rwanda	5.11732241488616E+01	967	3336595	8388
32	ARG	argentina	5.10610104471223E+01	990	5511252	15099
288	GHA	ghana	5.04206164480916E+01	947	8538852	21475
688	SRB	serbia	5.11255342249929E+01	1151	9300724	29834
36	AUS	australia	5.02339268545304E+01	2755	11101694	28276
192	CUB	cuba	4.97382081373352E+01	1614	7528766	21710
894	ZMB	zambia	5.01204583097181E+01	402	2458163	5416
417	KGZ	kyrgyzstan	5.06792370250785E+01	533	3545032	10445
320	GTM	guatemala	5.12285363723246E+01	1322	4848474	13327
56	BEL	belgium	5.09232673383238E+01	1488	10269267	29189
332	HTI	haiti	5.05898108071356E+01	1113	5020928	12590
854	BFA	burkina faso	5.02869498788858E+01	259	1527119	4376
430	LBR	liberia	4.96413548243313E+01	365	1718839	3951
384	CIV	ivory coast	4.90313931531891E+01	262	2167518	5976
620	PRT	portugal	5.15549827887147E+01	647	4092352	13893
208	DNK	denmark	5.03765018430011E+01	2063	11934319	37996
608	PHL	philippines	4.99070467752294E+01	2188	15381963	47504
686	SEN	senegal	5.09543078464447E+01	623	2955926	7496
498	MDA	moldova	5.26073897598190E+01	644	2743879	7589
180	COD	democratic republic of the congo	5.03257643632712E+01	909	5917790	13487
428	LVA	latvia	5.42845813598580E+01	794	5572986	17451
191	HRV	croatia	5.17564341119245E+01	1843	9363305	26635
70	BIH	bosnia and herzegovina	5.11790775719993E+01	1276	9077454	26947
144	LKA	sri lanka	5.11352202872079E+01	1869	11872045	31454
780	TTO	trinidad and tobago	5.05590347395633E+01	216	3222597	9394
100	BGR	bulgaria	5.14035622321815E+01	1797	9396414	26534
388	JAM	jamaica	5.07682421131885E+01	363	3393538	9123
8	ALB	albania	4.98789104365811E+01	1535	8302985	23141
24	AGO	angola	5.04178073585325E+01	727	4117112	11212
422	LBN	lebanon	4.91876247285602E+01	2103	10491745	28502
458	MYS	malaysia	5.14678231777707E+01	1583	8991892	26779
508	MOZ	mozambique	5.11089600922080E+01	510	3320356	8927
764	THA	thailand	5.10268360622041E+01	1742	10201818	25955
300	GRC	greece	5.06544038950430E+01	3233	12349644	35028
558	NIC	nicaragua	5.05468813471572E+01	723	3757972	9785
562	NER	niger	4.96074872961937E+01	711	3238542	8754
124	CAN	canada	5.03745441096315E+01	3417	14180797	41982
4	AFG	afghanistan	4.92966833830447E+01	3010	12811496	34286
634	QAT	qatar	2.34701128293662E+01	325	2200454	5911
585	PLW	palau		120	1516509	4406
226	GNQ	equatorial guinea	4.87886617684746E+01	167	1412177	3962
729	SDN	sudan	4.98323030058814E+01	748	5011562	13750
324	GIN	guinea	4.99153227759894E+01	225	1499153	3969
591	PAN	panama	4.95045249044426E+01	453	3567520	10326
524	NPL	nepal	5.15941871948934E+01	1983	12359198	31019
140	CAF	central african republic	5.07904506893550E+01	557	2733055	6687
442	LUX	luxembourg	5.02262528752970E+01	445	4297239	12666
716	ZWE	zimbabwe	5.06304609132326E+01	1994	7759641	18564
748	SWZ	swaziland	5.06707407840168E+01	174	1305466	3510
706	SOM	somalia	5.02557218593765E+01	2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	4.98600979759815E+01	1002	5647358	14170
662	LCA	saint lucia	5.09011208462032E+01	150	1856218	4866
96	BRN	brunei	4.93434406296076E+01	491	3348866	9852
364	IRN	iran	4.96978804957723E+01	5882	20529075	53463
784	ARE	united arab emirates	2.99260474577229E+01	556	3552603	8937
466	MLI	mali	4.96048203951861E+01	625	3401409	9256
682	SAU	saudi arabia	4.25331967572784E+01	1666	10453381	29624
659	KNA	saint kitts and nevis		59	1396862	3739
756	CHE	switzerland	5.06939299190761E+01	900	7055535	23274
600	PRY	paraguay	4.95973344290420E+01	192	2667817	6873
156	CHN	china	4.81723849541843E+01	3598	15920522	47263
51	ARM	armenia	4.85720457735525E+01	3008	13593125	39051
296	KIR	kiribati	5.02662406815762E+01	112	990189	3050
84	BLZ	belize	5.00445917445014E+01	414	3294506	10922
788	TUN	tunisia	5.04293405683528E+01	1217	5287228	14404
804	UKR	ukraine	5.39205710672508E+01	3680	18180124	51204
434	LBY	libya	4.99908006439065E+01	1912	8030270	20645
270	GMB	gambia	5.05333142268498E+01	363	2260222	6453
246	FIN	finland	5.08677054425253E+01	656	5122395	13520
480	MUS	mauritius	5.06488653595339E+01	224	2507536	7547
28	ATG	antigua and barbuda	5.22309273767850E+01	55	1282394	3375
233	EST	estonia	5.36164275654088E+01	981	5722888	17295
760	SYR	syria	4.90600423480417E+01	3049	14605831	40095
214	DOM	dominican republic	4.99794160976978E+01	428	3088770	8806
104	MMR	burma	5.14630517596100E+01	2410	9196976	20975
586	PAK	pakistan	4.86267550356728E+01	4205	21477320	68229
642	ROU	romania	5.12923123788948E+01	789	5283644	15969
690	SYC	seychelles	4.90865809259140E+01	66	1450952	4500
203	CZE	czech republic	5.07774525174597E+01	348	3304578	9155
818	EGY	egypt	4.97833587049138E+01	3001	11672118	30922
598	PNG	papua new guinea	4.89861310795871E+01	387	3195466	8519
840	USA	united states	5.07918395033367E+01	15304	52182114	151469
40	AUT	austria	5.11724402585241E+01	1311	10892096	32445
496	MNG	mongolia	5.04587588977106E+01	1667	8899314	27064
170	COL	colombia	5.08320629336005E+01	1023	7038812	20089
340	HND	honduras	4.99713621962219E+01	722	3315102	6948
554	NZL	new zealand	5.08857660226541E+01	1427	6201233	15155
242	FJI	fiji	4.90639169641286E+01	343	2428571	6108
174	COM	comoros	4.96227465142322E+01	109	1375712	3984
792	TUR	turkey	5.08931468196884E+01	2857	14049568	44033
826	GBR	united kingdom	5.07226710354184E+01	8628	35289924	107339
450	MDG	madagascar	5.01640817643700E+01	635	4426741	10294
368	IRQ	iraq	4.94472005997175E+01	2568	11919538	33762
50	BGD	bangladesh	4.93978676018964E+01	3254	19238292	57315
478	MRT	mauritania	4.96424054212469E+01	494	2817073	7565
858	URY	uruguay	5.16950674804274E+01	454	3979898	10642
250	FRA	france	5.15847996804543E+01	1730	10752330	34546
44	BHS	bahamas	5.10732058912379E+01	400	2513540	6910
703	SVK	slovakia	5.13712191225937E+01	567	4087803	11688
372	IRL	ireland	5.03507865385625E+01	1615	6484724	16329
418	LAO	laos	5.02244034360617E+01	410	2605137	6778
410	KOR	south korea	5.02764261916796E+01	1484	6604974	14929
68	BOL	bolivia	5.00576317565035E+01	402	3681253	10308
454	MWI	malawi	4.98792090507559E+01	750	3050315	7024
218	ECU	ecuador	5.00036281892641E+01	898	5252818	12692
376	ISR	israel	5.04926456820150E+01	7951	25677910	65553
604	PER	peru	4.98859265444047E+01	633	5381479	16059
12	DZA	algeria	4.94441034442953E+01	721	6797727	19565
752	SWE	sweden	5.01599971999053E+01	2004	10834574	30870
356	IND	india	4.82935732510770E+01	5042	24381167	70861
834	TZA	tanzania	4.99940734726157E+01	556	4721413	11868
499	MNE	montenegro	5.05953654992171E+01	1239	6874308	19854
762	TJK	tajikistan	4.98051495680834E+01	569	3856874	11733
768	TGO	togo	5.06877530261925E+01	74	1478904	4415
400	JOR	jordan	4.89731019512637E+01	914	5592938	15060
152	CHL	chile	5.05405594689765E+01	1430	7410887	19636
512	OMN	oman	3.64210707721853E+01	244	2740041	7050
566	NGA	nigeria	4.91049509477402E+01	1168	7926035	20332
724	ESP	spain	5.05885113426155E+01	3334	16565176	45770
268	GEO	georgia	5.28640522288606E+01	1722	7851210	21567
578	NOR	norway	4.99364324977775E+01	1151	7215017	20016
694	SLE	sierra leone	5.03478043195463E+01	610	3195183	7907
504	MAR	morocco	5.06417172728553E+01	1463	8889048	23442
266	GAB	gabon	4.97417316749127E+01	185	2259207	6708
328	GUY	guyana	4.91899206241019E+01	569	3495270	9188
308	GRD	grenada	4.99173725412429E+01	124	1579737	4471
887	YEM	yemen	4.95882495545098E+01	925	5317491	14964
643	RUS	russia	5.38689069355340E+01	3858	19559146	53313
728	SSD	south sudan	4.99711805051144E+01	971	4079530	9758
48	BHR	bahrain	3.78247987683263E+01	984	5534198	14791
360	IDN	indonesia	4.96927210449363E+01	1109	6315182	17660
148	TCD	chad	4.99230818052486E+01	446	2572952	6902
484	MEX	mexico	5.15509280579056E+01	1935	10624402	27978
426	LSO	lesotho	5.06571573875674E+01	83	1161694	3443
112	BLR	belarus	5.35850223765315E+01	996	4888728	12776
670	VCT	saint vincent and the grenadines	4.95268484909438E+01	47	1275427	3160
800	UGA	uganda	4.98660603898850E+01	668	3381652	9634
108	BDI	burundi	5.06048886242130E+01	210	1796598	4801
404	KEN	kenya	5.01075186730232E+01	1096	8286607	20012
72	BWA	botswana	4.97025446974585E+01	139	1154682	2889
380	ITA	italy	5.14181530934841E+01	1847	9978083	33234
116	KHM	cambodia	5.12018927571935E+01	851	5165635	13715
231	ETH	ethiopia	4.99755177312284E+01	1109	6232319	16459
548	VUT	vanuatu	4.92694737758295E+01	265	2451779	7239
584	MHL	marshall islands		97	1014048	3239
120	CMR	cameroon	5.00107104538118E+01	956	4537626	11383
204	BEN	benin	5.01663393543685E+01	86	1013683	2666
76	BRA	brazil	5.08259221406462E+01	2424	12102945	32005
702	SGP	singapore	5.06475647282933E+01	1270	7965260	19928
90	SLB	solomon islands	4.92449633038802E+01	286	2615725	7016
352	ISL	iceland	4.96617961673267E+01	744	5735302	17749
674	SMR	san marino		66	802513	1998
492	MCO	monaco		288	2060126	5928
188	CRI	costa rica	4.92220708407718E+01	273	2105051	5162
705	SVN	slovenia	5.02995902021094E+01	587	3362613	9659
276	DEU	germany	5.09203373047028E+01	809	4940123	15076
710	ZAF	south africa	5.14629909392750E+01	3528	20480119	48536
212	DMA	dominica		92	1002182	2597
795	TKM	turkmenistan	5.08171261768922E+01	707	4104779	12388
740	SUR	suriname	4.98891105853033E+01	156	1635993	4679
232	ERI	eritrea	5.01009373714598E+01	275	2382397	6381
776	TON	tonga	4.98789438204381E+01	155	1499371	3416
462	MDV	maldives	4.96468351385270E+01	178	1780819	5626
860	UZB	uzbekistan	5.02620299050581E+01	740	4951129	14191
222	SLV	el salvador	5.26088668098530E+01	398	2716148	7133
616	POL	poland	5.17261501437790E+01	2953	15472218	44481
132	CPV	cape verde	5.01849079068425E+01	97	1324986	3651
438	LIE	liechtenstein		175	1092252	2825
704	VNM	vietnam	5.05836628036428E+01	2330	11515107	29006
