id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.18006900000000E+06	287	1825108	4556
882	WSM	samoa	1.90372000000000E+05	209	1577359	4175
392	JPN	japan	1.27338621000000E+08	3366	16441329	44822
31	AZE	azerbaijan	9.41680100000000E+06	2002	9390161	24439
408	PRK	north korea	2.48954800000000E+07	2085	8090788	17766
262	DJI	djibouti	8.72932000000000E+05	155	1819059	5571
470	MLT	malta	4.23374000000000E+05	685	4545131	14276
624	GNB	guinea-bissau	1.70425500000000E+06	286	1784413	5321
348	HUN	hungary	9.89389900000000E+06	1099	6609895	16810
196	CYP	cyprus	1.14116600000000E+06	860	4993330	13832
52	BRB	barbados	2.84644000000000E+05	342	2542869	7487
64	BTN	bhutan	7.53947000000000E+05	552	3132760	8245
398	KAZ	kazakhstan	1.70352750000000E+07	760	5030223	15433
440	LTU	lithuania	2.95768900000000E+06	505	2661259	8709
178	COG	republic of the congo	4.44763200000000E+06	141	1469208	3847
583	FSM	micronesia	1.03549000000000E+05	159	1195659	3795
20	AND	andorra	7.92180000000000E+04	394	2196134	6844
516	NAM	namibia	2.30331500000000E+06	704	4735890	11635
646	RWA	rwanda	1.17765220000000E+07	967	3336595	8388
32	ARG	argentina	4.14462460000000E+07	990	5511252	15099
288	GHA	ghana	2.59045980000000E+07	947	8538852	21475
688	SRB	serbia	7.16413200000000E+06	1151	9300724	29834
36	AUS	australia	2.31293000000000E+07	2755	11101694	28276
192	CUB	cuba	1.12656290000000E+07	1614	7528766	21710
894	ZMB	zambia	1.45386400000000E+07	402	2458163	5416
417	KGZ	kyrgyzstan	5.71960000000000E+06	533	3545032	10445
320	GTM	guatemala	1.54682030000000E+07	1322	4848474	13327
56	BEL	belgium	1.11828170000000E+07	1488	10269267	29189
332	HTI	haiti	1.03174610000000E+07	1113	5020928	12590
854	BFA	burkina faso	1.69348390000000E+07	259	1527119	4376
430	LBR	liberia	4.29407700000000E+06	365	1718839	3951
384	CIV	ivory coast	2.03160860000000E+07	262	2167518	5976
620	PRT	portugal	1.04572950000000E+07	647	4092352	13893
208	DNK	denmark	5.61493200000000E+06	2063	11934319	37996
608	PHL	philippines	9.83935740000000E+07	2188	15381963	47504
686	SEN	senegal	1.41332800000000E+07	623	2955926	7496
498	MDA	moldova	3.55856600000000E+06	644	2743879	7589
180	COD	democratic republic of the congo	6.75136770000000E+07	909	5917790	13487
428	LVA	latvia	2.01264700000000E+06	794	5572986	17451
191	HRV	croatia	4.25570000000000E+06	1843	9363305	26635
70	BIH	bosnia and herzegovina	3.82930700000000E+06	1276	9077454	26947
144	LKA	sri lanka	2.04830000000000E+07	1869	11872045	31454
780	TTO	trinidad and tobago	1.34115100000000E+06	216	3222597	9394
100	BGR	bulgaria	7.26511500000000E+06	1797	9396414	26534
388	JAM	jamaica	2.71473400000000E+06	363	3393538	9123
8	ALB	albania	2.89736600000000E+06	1535	8302985	23141
24	AGO	angola	2.14716180000000E+07	727	4117112	11212
422	LBN	lebanon	4.46739000000000E+06	2103	10491745	28502
458	MYS	malaysia	2.97169650000000E+07	1583	8991892	26779
508	MOZ	mozambique	2.58337520000000E+07	510	3320356	8927
764	THA	thailand	6.70105020000000E+07	1742	10201818	25955
300	GRC	greece	1.10275490000000E+07	3233	12349644	35028
558	NIC	nicaragua	6.08047800000000E+06	723	3757972	9785
562	NER	niger	1.78312700000000E+07	711	3238542	8754
124	CAN	canada	3.51542790000000E+07	3417	14180797	41982
4	AFG	afghanistan	3.05516740000000E+07	3010	12811496	34286
634	QAT	qatar	2.16867300000000E+06	325	2200454	5911
585	PLW	palau	2.09180000000000E+04	120	1516509	4406
226	GNQ	equatorial guinea	7.57014000000000E+05	167	1412177	3962
729	SDN	sudan	3.79643060000000E+07	748	5011562	13750
324	GIN	guinea	1.17451890000000E+07	225	1499153	3969
591	PAN	panama	3.86417000000000E+06	453	3567520	10326
524	NPL	nepal	2.77974570000000E+07	1983	12359198	31019
140	CAF	central african republic	4.61641700000000E+06	557	2733055	6687
442	LUX	luxembourg	5.43360000000000E+05	445	4297239	12666
716	ZWE	zimbabwe	1.41496480000000E+07	1994	7759641	18564
748	SWZ	swaziland	1.24951400000000E+06	174	1305466	3510
706	SOM	somalia	1.04955830000000E+07	2758	11573292	30219
798	TUV	tuvalu	9.87600000000000E+03	925	3622703	8914
862	VEN	venezuela	3.04052070000000E+07	1002	5647358	14170
662	LCA	saint lucia	1.82273000000000E+05	150	1856218	4866
96	BRN	brunei	4.17784000000000E+05	491	3348866	9852
364	IRN	iran	7.74471680000000E+07	5882	20529075	53463
784	ARE	united arab emirates	9.34612900000000E+06	556	3552603	8937
466	MLI	mali	1.53016500000000E+07	625	3401409	9256
682	SAU	saudi arabia	2.88288700000000E+07	1666	10453381	29624
659	KNA	saint kitts and nevis	5.41910000000000E+04	59	1396862	3739
