id	code	country	indicator	citations	fsize	links
626	TLS	east timor	1.72318366260865E+00	287	1825108	4556
882	WSM	samoa	1.02964302264019E+00	209	1577359	4175
392	JPN	japan	-7.72634548612727E+00	3366	16441329	44822
31	AZE	azerbaijan	7.63262407855758E-01	2002	9390161	24439
408	PRK	north korea	1.96075845002423E-01	2085	8090788	17766
262	DJI	djibouti	1.23124337162824E+00	155	1819059	5571
470	MLT	malta	-2.07263797010086E+00	685	4545131	14276
624	GNB	guinea-bissau	8.54147965844610E-01	286	1784413	5321
348	HUN	hungary	-1.85080524999193E+00	1099	6609895	16810
196	CYP	cyprus	1.46265203428340E+00	860	4993330	13832
52	BRB	barbados	6.72010533248224E-01	342	2542869	7487
64	BTN	bhutan	4.02336756693334E-01	552	3132760	8245
398	KAZ	kazakhstan	1.64998397146922E+00	760	5030223	15433
440	LTU	lithuania	-8.62399697083716E-01	505	2661259	8709
178	COG	republic of the congo	1.30994314748011E+00	141	1469208	3847
583	FSM	micronesia	1.16963443597926E-01	159	1195659	3795
20	AND	andorra	5.09091960536560E+00	394	2196134	6844
516	NAM	namibia	1.10796026917891E-01	704	4735890	11635
646	RWA	rwanda	1.41928989657867E+00	967	3336595	8388
32	ARG	argentina	-9.49295008416678E-01	990	5511252	15099
288	GHA	ghana	7.00013312454877E-01	947	8538852	21475
688	SRB	serbia	-6.34365503496577E-01	1151	9300724	29834
36	AUS	australia	4.84703994924860E-01	2755	11101694	28276
192	CUB	cuba	-4.39979961160209E-01	1614	7528766	21710
894	ZMB	zambia	2.50928700372179E+00	402	2458163	5416
417	KGZ	kyrgyzstan	1.86080771692050E+00	533	3545032	10445
320	GTM	guatemala	1.61703013210798E+00	1322	4848474	13327
56	BEL	belgium	-1.47000721301729E+00	1488	10269267	29189
332	HTI	haiti	-1.58009589048095E+00	1113	5020928	12590
854	BFA	burkina faso	1.68021777928115E+00	259	1527119	4376
430	LBR	liberia	1.70203256835173E+00	365	1718839	3951
384	CIV	ivory coast	8.49294044950082E-01	262	2167518	5976
620	PRT	portugal	-2.07711129842129E+00	647	4092352	13893
208	DNK	denmark	-1.00859657570426E+00	2063	11934319	37996
608	PHL	philippines	2.04941185190606E+00	2188	15381963	47504
686	SEN	senegal	2.40172120828605E+00	623	2955926	7496
498	MDA	moldova	-6.67118062079221E-02	644	2743879	7589
180	COD	democratic republic of the congo	1.84624153456574E+00	909	5917790	13487
428	LVA	latvia	-8.49431242774859E-01	794	5572986	17451
191	HRV	croatia	-9.60322228647856E-01	1843	9363305	26635
70	BIH	bosnia and herzegovina	-2.98612900996205E-01	1276	9077454	26947
144	LKA	sri lanka	7.55929913499363E-01	1869	11872045	31454
780	TTO	trinidad and tobago	4.18532167295118E-01	216	3222597	9394
100	BGR	bulgaria	-1.78428816088411E+00	1797	9396414	26534
388	JAM	jamaica	-2.01063244686855E-01	363	3393538	9123
8	ALB	albania	-2.44035597921807E+00	1535	8302985	23141
24	AGO	angola	1.71323534936904E+00	727	4117112	11212
422	LBN	lebanon	-1.90533710663178E-02	2103	10491745	28502
458	MYS	malaysia	-1.17946127821076E+00	1583	8991892	26779
508	MOZ	mozambique	2.10220175273799E+00	510	3320356	8927
764	THA	thailand	-2.05638846005218E+00	1742	10201818	25955
300	GRC	greece	-2.09221808190923E+00	3233	12349644	35028
558	NIC	nicaragua	7.44159689574502E-01	723	3757972	9785
562	NER	niger	3.56877638495939E+00	711	3238542	8754
124	CAN	canada	1.89081959502144E-01	3417	14180797	41982
4	AFG	afghanistan	1.86663136813157E+00	3010	12811496	34286
634	QAT	qatar	-5.94800799417297E+00	325	2200454	5911
585	PLW	palau	-4.27696763878490E+00	120	1516509	4406
226	GNQ	equatorial guinea	2.54336780759877E+00	167	1412177	3962
729	SDN	sudan	1.82859174085626E+00	748	5011562	13750
324	GIN	guinea	1.81421248922727E+00	225	1499153	3969
591	PAN	panama	7.47967439392846E-01	453	3567520	10326
524	NPL	nepal	7.32875346919266E-01	1983	12359198	31019
140	CAF	central african republic	1.59631398345032E+00	557	2733055	6687
442	LUX	luxembourg	-7.20717505854223E-01	445	4297239	12666
716	ZWE	zimbabwe	3.31968468772728E+00	1994	7759641	18564
748	SWZ	swaziland	1.54105590320466E+00	174	1305466	3510
706	SOM	somalia	2.15945857473808E+00	2758	11573292	30219
798	TUV	tuvalu	-2.18432236325074E+00	925	3622703	8914
862	VEN	venezuela	1.10604017945943E+00	1002	5647358	14170
662	LCA	saint lucia	7.61841551082088E-01	150	1856218	4866
96	BRN	brunei	-9.59467671159749E-02	491	3348866	9852
364	IRN	iran	-6.41714088510043E-01	5882	20529075	53463
784	ARE	united arab emirates	-4.43768625496695E-01	556	3552603	8937
466	MLI	mali	1.70808911262485E+00	625	3401409	9256
682	SAU	saudi arabia	6.92306064887216E-01	1666	10453381	29624
659	KNA	saint kitts and nevis	1.05408921081310E+00	59	1396862	3739
756	CHE	switzerland	9.48745437615300E-01	900	7055535	23274
600	PRY	paraguay	1.13256209975918E+00	192	2667817	6873
156	CHN	china	-2.20070135884128E+00	3598	15920522	47263
51	ARM	armenia	7.55427222646916E-01	3008	13593125	39051
