id	code	country	indicator	citations	fsize	links
626	TLS	east timor	8.08524000000000E+05	287	1825108	4556
882	WSM	samoa	1.53364000000000E+05	209	1577359	4175
392	JPN	japan	9.56185700000000E+06	3366	16441329	44822
31	AZE	azerbaijan	4.32231200000000E+06	2002	9390161	24439
408	PRK	north korea	9.81653700000000E+06	2085	8090788	17766
262	DJI	djibouti	1.99151000000000E+05	155	1819059	5571
470	MLT	malta	2.05800000000000E+04	685	4545131	14276
624	GNB	guinea-bissau	8.90524000000000E+05	286	1784413	5321
348	HUN	hungary	2.93789400000000E+06	1099	6609895	16810
196	CYP	cyprus	3.75067000000000E+05	860	4993330	13832
52	BRB	barbados	1.94548000000000E+05	342	2542869	7487
64	BTN	bhutan	4.73939000000000E+05	552	3132760	8245
398	KAZ	kazakhstan	7.94508200000000E+06	760	5030223	15433
440	LTU	lithuania	9.89229000000000E+05	505	2661259	8709
178	COG	republic of the congo	1.57753100000000E+06	141	1469208	3847
583	FSM	micronesia	8.04140000000000E+04	159	1195659	3795
20	AND	andorra	1.09600000000000E+04	394	2196134	6844
516	NAM	namibia	1.27421700000000E+06	704	4735890	11635
646	RWA	rwanda	8.61228800000000E+06	967	3336595	8388
32	ARG	argentina	3.54282500000000E+06	990	5511252	15099
288	GHA	ghana	1.22438080000000E+07	947	8538852	21475
688	SRB	serbia	3.19713700000000E+06	1151	9300724	29834
36	AUS	australia	2.50883500000000E+06	2755	11101694	28276
192	CUB	cuba	2.60551500000000E+06	1614	7528766	21710
894	ZMB	zambia	8.71925900000000E+06	402	2458163	5416
417	KGZ	kyrgyzstan	3.69011400000000E+06	533	3545032	10445
320	GTM	guatemala	7.63185700000000E+06	1322	4848474	13327
56	BEL	belgium	2.48706000000000E+05	1488	10269267	29189
332	HTI	haiti	4.52235000000000E+06	1113	5020928	12590
854	BFA	burkina faso	1.21615850000000E+07	259	1527119	4376
430	LBR	liberia	2.19337200000000E+06	365	1718839	3951
384	CIV	ivory coast	9.59610000000000E+06	262	2167518	5976
620	PRT	portugal	3.93842600000000E+06	647	4092352	13893
208	DNK	denmark	7.11749000000000E+05	2063	11934319	37996
608	PHL	philippines	5.44775700000000E+07	2188	15381963	47504
686	SEN	senegal	8.04480400000000E+06	623	2955926	7496
498	MDA	moldova	1.96151700000000E+06	644	2743879	7589
180	COD	democratic republic of the congo	3.95218310000000E+07	909	5917790	13487
428	LVA	latvia	6.54593000000000E+05	794	5572986	17451
191	HRV	croatia	1.77211600000000E+06	1843	9363305	26635
70	BIH	bosnia and herzegovina	2.31726700000000E+06	1276	9077454	26947
144	LKA	sri lanka	1.67346110000000E+07	1869	11872045	31454
780	TTO	trinidad and tobago	1.22492700000000E+06	216	3222597	9394
100	BGR	bulgaria	1.93978600000000E+06	1797	9396414	26534
388	JAM	jamaica	1.23965600000000E+06	363	3393538	9123
8	ALB	albania	1.29271800000000E+06	1535	8302985	23141
24	AGO	angola	1.23483280000000E+07	727	4117112	11212
422	LBN	lebanon	5.56279000000000E+05	2103	10491745	28502
458	MYS	malaysia	7.93918400000000E+06	1583	8991892	26779
508	MOZ	mozambique	1.76524610000000E+07	510	3320356	8927
764	THA	thailand	3.48836570000000E+07	1742	10201818	25955
300	GRC	greece	2.49851200000000E+06	3233	12349644	35028
558	NIC	nicaragua	2.54492300000000E+06	723	3757972	9785
562	NER	niger	1.45824130000000E+07	711	3238542	8754
124	CAN	canada	6.51338500000000E+06	3417	14180797	41982
4	AFG	afghanistan	2.26476500000000E+07	3010	12811496	34286
634	QAT	qatar	2.03640000000000E+04	325	2200454	5911
585	PLW	palau	2.97500000000000E+03	120	1516509	4406
226	GNQ	equatorial guinea	4.57214000000000E+05	167	1412177	3962
729	SDN	sudan	2.52614490000000E+07	748	5011562	13750
324	GIN	guinea	7.49237400000000E+06	225	1499153	3969
591	PAN	panama	1.31405000000000E+06	453	3567520	10326
524	NPL	nepal	2.28281060000000E+07	1983	12359198	31019
140	CAF	central african republic	2.79293200000000E+06	557	2733055	6687
442	LUX	luxembourg	5.66830000000000E+04	445	4297239	12666
716	ZWE	zimbabwe	9.52922200000000E+06	1994	7759641	18564
748	SWZ	swaziland	9.82905000000000E+05	174	1305466	3510
706	SOM	somalia	6.44302800000000E+06	2758	11573292	30219
798	TUV	tuvalu	4.16600000000000E+03	925	3622703	8914
862	VEN	venezuela	3.37680200000000E+06	1002	5647358	14170
662	LCA	saint lucia	1.48627000000000E+05	150	1856218	4866
96	BRN	brunei	9.79240000000000E+04	491	3348866	9852
364	IRN	iran	2.14373760000000E+07	5882	20529075	53463
784	ARE	united arab emirates	1.40369500000000E+06	556	3552603	8937
466	MLI	mali	9.43147800000000E+06	625	3401409	9256
682	SAU	saudi arabia	4.98191700000000E+06	1666	10453381	29624
659	KNA	saint kitts and nevis	3.69080000000000E+04	59	1396862	3739
756	CHE	switzerland	2.12007500000000E+06	900	7055535	23274
600	PRY	paraguay	2.77710500000000E+06	192	2667817	6873
156	CHN	china	6.35688202000000E+08	3598	15920522	47263
51	ARM	armenia	1.10207400000000E+06	3008	13593125	39051
296	KIR	kiribati	5.72600000000000E+04	112	990189	3050
84	BLZ	belize	1.84875000000000E+05	414	3294506	10922
