id	code	country	indicator	citations	fsize	links
626	TLS	east timor		287	1825108	4556
882	WSM	samoa	1.16000000000000E+05	209	1577359	4175
392	JPN	japan	1.03640000000000E+07	3366	16441329	44822
31	AZE	azerbaijan	2.13000000000000E+06	2002	9390161	24439
408	PRK	north korea		2085	8090788	17766
262	DJI	djibouti	6.30000000000000E+04	155	1819059	5571
470	MLT	malta	1.58200000000000E+06	685	4545131	14276
624	GNB	guinea-bissau		286	1784413	5321
348	HUN	hungary	1.06750000000000E+07	1099	6609895	16810
196	CYP	cyprus	2.40500000000000E+06	860	4993330	13832
52	BRB	barbados	5.09000000000000E+05	342	2542869	7487
64	BTN	bhutan	1.16000000000000E+05	552	3132760	8245
398	KAZ	kazakhstan	4.92600000000000E+06	760	5030223	15433
440	LTU	lithuania	2.01200000000000E+06	505	2661259	8709
178	COG	republic of the congo	2.97000000000000E+05	141	1469208	3847
583	FSM	micronesia	4.20000000000000E+04	159	1195659	3795
20	AND	andorra	2.33500000000000E+06	394	2196134	6844
516	NAM	namibia	1.17600000000000E+06	704	4735890	11635
646	RWA	rwanda	8.64000000000000E+05	967	3336595	8388
32	ARG	argentina	5.57100000000000E+06	990	5511252	15099
288	GHA	ghana		947	8538852	21475
688	SRB	serbia	9.22000000000000E+05	1151	9300724	29834
36	AUS	australia	6.38200000000000E+06	2755	11101694	28276
192	CUB	cuba	2.82900000000000E+06	1614	7528766	21710
894	ZMB	zambia	9.15000000000000E+05	402	2458163	5416
417	KGZ	kyrgyzstan	3.07600000000000E+06	533	3545032	10445
320	GTM	guatemala	1.33100000000000E+06	1322	4848474	13327
56	BEL	belgium	7.68400000000000E+06	1488	10269267	29189
332	HTI	haiti		1113	5020928	12590
854	BFA	burkina faso	2.18000000000000E+05	259	1527119	4376
430	LBR	liberia		365	1718839	3951
384	CIV	ivory coast		262	2167518	5976
620	PRT	portugal	8.09700000000000E+06	647	4092352	13893
208	DNK	denmark	8.55700000000000E+06	2063	11934319	37996
608	PHL	philippines	4.68100000000000E+06	2188	15381963	47504
686	SEN	senegal	1.06300000000000E+06	623	2955926	7496
498	MDA	moldova	1.15000000000000E+04	644	2743879	7589
180	COD	democratic republic of the congo	1.91000000000000E+05	909	5917790	13487
428	LVA	latvia	1.53600000000000E+06	794	5572986	17451
191	HRV	croatia	1.09550000000000E+07	1843	9363305	26635
70	BIH	bosnia and herzegovina	5.29000000000000E+05	1276	9077454	26947
144	LKA	sri lanka	1.27500000000000E+06	1869	11872045	31454
780	TTO	trinidad and tobago	4.34000000000000E+05	216	3222597	9394
100	BGR	bulgaria	6.89800000000000E+06	1797	9396414	26534
388	JAM	jamaica	2.00800000000000E+06	363	3393538	9123
8	ALB	albania	2.85700000000000E+06	1535	8302985	23141
24	AGO	angola	6.50000000000000E+05	727	4117112	11212
422	LBN	lebanon	1.27400000000000E+06	2103	10491745	28502
458	MYS	malaysia	2.57150000000000E+07	1583	8991892	26779
508	MOZ	mozambique	1.88600000000000E+06	510	3320356	8927
764	THA	thailand	2.65470000000000E+07	1742	10201818	25955
300	GRC	greece	1.79200000000000E+07	3233	12349644	35028
558	NIC	nicaragua	1.22900000000000E+06	723	3757972	9785
562	NER	niger	1.23000000000000E+05	711	3238542	8754
124	CAN	canada	1.65900000000000E+07	3417	14180797	41982
4	AFG	afghanistan		3010	12811496	34286
634	QAT	qatar	2.61100000000000E+06	325	2200454	5911
585	PLW	palau	1.05000000000000E+05	120	1516509	4406
226	GNQ	equatorial guinea		167	1412177	3962
729	SDN	sudan	5.91000000000000E+05	748	5011562	13750
324	GIN	guinea	5.60000000000000E+04	225	1499153	3969
591	PAN	panama	1.65800000000000E+06	453	3567520	10326
524	NPL	nepal	7.98000000000000E+05	1983	12359198	31019
140	CAF	central african republic		557	2733055	6687
442	LUX	luxembourg	9.45000000000000E+05	445	4297239	12666
716	ZWE	zimbabwe	1.83300000000000E+06	1994	7759641	18564
748	SWZ	swaziland	9.68000000000000E+05	174	1305466	3510
706	SOM	somalia		2758	11573292	30219
798	TUV	tuvalu		925	3622703	8914
862	VEN	venezuela	9.86000000000000E+05	1002	5647358	14170
662	LCA	saint lucia	3.19000000000000E+05	150	1856218	4866
96	BRN	brunei	2.25000000000000E+05	491	3348866	9852
364	IRN	iran	4.76900000000000E+06	5882	20529075	53463
784	ARE	united arab emirates		556	3552603	8937
466	MLI	mali	1.42000000000000E+05	625	3401409	9256
682	SAU	saudi arabia	1.33800000000000E+07	1666	10453381	29624
659	KNA	saint kitts and nevis	1.07000000000000E+05	59	1396862	3739
756	CHE	switzerland	8.96700000000000E+06	900	7055535	23274
600	PRY	paraguay	6.10000000000000E+05	192	2667817	6873
156	CHN	china	5.56860000000000E+07	3598	15920522	47263
51	ARM	armenia	1.08400000000000E+06	3008	13593125	39051
296	KIR	kiribati	5.90000000000000E+03	112	990189	3050
84	BLZ	belize	2.94000000000000E+05	414	3294506	10922
788	TUN	tunisia	6.26900000000000E+06	1217	5287228	14404
804	UKR	ukraine	2.46710000000000E+07	3680	18180124	51204
434	LBY	libya		1912	8030270	20645
270	GMB	gambia	1.71000000000000E+05	363	2260222	6453
246	FIN	finland		656	5122395	13520
480	MUS	mauritius	9.93000000000000E+05	224	2507536	7547
28	ATG	antigua and barbuda	2.44000000000000E+05	55	1282394	3375
233	EST	estonia	2.86800000000000E+06	981	5722888	17295
760	SYR	syria		3049	14605831	40095
214	DOM	dominican republic	4.69000000000000E+06	428	3088770	8806
104	MMR	burma	2.04400000000000E+06	2410	9196976	20975
586	PAK	pakistan		4205	21477320	68229
642	ROU	romania	8.01900000000000E+06	789	5283644	15969
690	SYC	seychelles	2.30000000000000E+05	66	1450952	4500
203	CZE	czech republic	9.00400000000000E+06	348	3304578	9155
818	EGY	egypt	9.17400000000000E+06	3001	11672118	30922
598	PNG	papua new guinea	1.74000000000000E+05	387	3195466	8519
840	USA	united states	6.97680000000000E+07	15304	52182114	151469
40	AUT	austria	2.48130000000000E+07	1311	10892096	32445
496	MNG	mongolia	4.18000000000000E+05	1667	8899314	27064
170	COL	colombia	2.28800000000000E+06	1023	7038812	20089
340	HND	honduras	8.63000000000000E+05	722	3315102	6948
554	NZL	new zealand	2.62900000000000E+06	1427	6201233	15155
242	FJI	fiji	6.58000000000000E+05	343	2428571	6108
174	COM	comoros		109	1375712	3984
792	TUR	turkey	3.77950000000000E+07	2857	14049568	44033
826	GBR	united kingdom	3.11690000000000E+07	8628	35289924	107339
450	MDG	madagascar	1.96000000000000E+05	635	4426741	10294
368	IRQ	iraq	8.92000000000000E+05	2568	11919538	33762
50	BGD	bangladesh	1.48000000000000E+05	3254	19238292	57315
478	MRT	mauritania		494	2817073	7565
858	URY	uruguay	2.68300000000000E+06	454	3979898	10642
250	FRA	france	8.47260000000000E+07	1730	10752330	34546
44	BHS	bahamas	1.36400000000000E+06	400	2513540	6910
703	SVK	slovakia		567	4087803	11688
372	IRL	ireland	8.26000000000000E+06	1615	6484724	16329
418	LAO	laos	2.51000000000000E+06	410	2605137	6778
410	KOR	south korea	1.21760000000000E+07	1484	6604974	14929
68	BOL	bolivia	7.98000000000000E+05	402	3681253	10308
454	MWI	malawi		750	3050315	7024
218	ECU	ecuador	1.36400000000000E+06	898	5252818	12692
376	ISR	israel	2.96200000000000E+06	7951	25677910	65553
604	PER	peru	3.16400000000000E+06	633	5381479	16059
12	DZA	algeria		721	6797727	19565
752	SWE	sweden	5.22900000000000E+06	2004	10834574	30870
356	IND	india	6.96800000000000E+06	5042	24381167	70861
834	TZA	tanzania	1.06300000000000E+06	556	4721413	11868
499	MNE	montenegro	1.32400000000000E+06	1239	6874308	19854
762	TJK	tajikistan	2.08000000000000E+05	569	3856874	11733
768	TGO	togo	3.27000000000000E+05	74	1478904	4415
400	JOR	jordan	3.94500000000000E+06	914	5592938	15060
152	CHL	chile	3.57600000000000E+06	1430	7410887	19636
512	OMN	oman	1.55100000000000E+06	244	2740041	7050
566	NGA	nigeria	6.00000000000000E+05	1168	7926035	20332
724	ESP	spain	6.06610000000000E+07	3334	16565176	45770
268	GEO	georgia	5.39200000000000E+06	1722	7851210	21567
578	NOR	norway		1151	7215017	20016
694	SLE	sierra leone	8.10000000000000E+04	610	3195183	7907
504	MAR	morocco	1.00460000000000E+07	1463	8889048	23442
266	GAB	gabon		185	2259207	6708
328	GUY	guyana		569	3495270	9188
308	GRD	grenada	1.16000000000000E+05	124	1579737	4471
887	YEM	yemen	9.90000000000000E+05	925	5317491	14964
643	RUS	russia	3.07920000000000E+07	3858	19559146	53313
728	SSD	south sudan		971	4079530	9758
48	BHR	bahrain	9.16300000000000E+06	984	5534198	14791
360	IDN	indonesia	8.80200000000000E+06	1109	6315182	17660
148	TCD	chad	1.00000000000000E+05	446	2572952	6902
484	MEX	mexico	2.41510000000000E+07	1935	10624402	27978
426	LSO	lesotho	4.33000000000000E+05	83	1161694	3443
112	BLR	belarus	1.37000000000000E+05	996	4888728	12776
670	VCT	saint vincent and the grenadines	7.20000000000000E+04	47	1275427	3160
800	UGA	uganda	1.20600000000000E+06	668	3381652	9634
108	BDI	burundi		210	1796598	4801
404	KEN	kenya	1.43400000000000E+06	1096	8286607	20012
72	BWA	botswana		139	1154682	2889
380	ITA	italy	4.77040000000000E+07	1847	9978083	33234
116	KHM	cambodia	4.21000000000000E+06	851	5165635	13715
231	ETH	ethiopia	6.81000000000000E+05	1109	6232319	16459
548	VUT	vanuatu	1.10000000000000E+05	265	2451779	7239
584	MHL	marshall islands		97	1014048	3239
120	CMR	cameroon	9.12000000000000E+05	956	4537626	11383
204	BEN	benin	2.31000000000000E+05	86	1013683	2666
76	BRA	brazil	5.81300000000000E+06	2424	12102945	32005
702	SGP	singapore	1.18990000000000E+07	1270	7965260	19928
90	SLB	solomon islands	2.44000000000000E+04	286	2615725	7016
352	ISL	iceland	8.00000000000000E+05	744	5735302	17749
674	SMR	san marino	7.00000000000000E+04	66	802513	1998
492	MCO	monaco	3.28000000000000E+05	288	2060126	5928
188	CRI	costa rica	2.42800000000000E+06	273	2105051	5162
705	SVN	slovenia	2.25900000000000E+06	587	3362613	9659
276	DEU	germany	3.15450000000000E+07	809	4940123	15076
710	ZAF	south africa	9.53700000000000E+06	3528	20480119	48536
212	DMA	dominica	7.80000000000000E+04	92	1002182	2597
795	TKM	turkmenistan		707	4104779	12388
740	SUR	suriname	2.49000000000000E+05	156	1635993	4679
232	ERI	eritrea		275	2382397	6381
776	TON	tonga	4.50000000000000E+04	155	1499371	3416
462	MDV	maldives	1.12500000000000E+06	178	1780819	5626
860	UZB	uzbekistan	1.96900000000000E+06	740	4951129	14191
222	SLV	el salvador	1.28300000000000E+06	398	2716148	7133
616	POL	poland	1.58000000000000E+07	2953	15472218	44481
132	CPV	cape verde	5.03000000000000E+05	97	1324986	3651
438	LIE	liechtenstein	5.20000000000000E+04	175	1092252	2825
704	VNM	vietnam	7.57200000000000E+06	2330	11515107	29006
414	KWT	kuwait		837	5585031	12697
