id	code	country	GDP	citations	fsize	links
20	AND	Andorra	1917948475.27513	394	2196134	6844
4	AFG	Afghanistan	4583648921.64112	3010	12811496	34286
24	AGO	Angola	14188949239.8883	727	4117112	11212
8	ALB	Albania	5652325081.83146	1535	8302985	23141
784	ARE	United Arab Emirates	124346361618.639	556	3552603	8937
32	ARG	Argentina	129597154256.313	990	5511252	15099
51	ARM	Armenia	2807061008.69084	3008	13593125	39051
28	ATG	Antigua and Barbuda	839996355.5355	55	1282394	3375
36	AUS	Australia	466451368666.278	2755	11101694	28276
40	AUT	Austria	260721478555.305	1311	10892096	32445
31	AZE	Azerbaijan	7275766111.24309	2002	9390161	24439
108	BDI	Burundi	784654423.603171	210	1796598	4801
56	BEL	Belgium	318573363431.151	1488	10269267	29189
204	BEN	Benin	3557229701.84629	86	1013683	2666
854	BFA	Burkina Faso	4205691222.11396	259	1527119	4376
50	BGD	Bangladesh	51913661485.3195	3254	19238292	57315
100	BGR	Bulgaria	21101364344.6644	1797	9396414	26534
48	BHR	Bahrain	11075116593.9503	984	5534198	14791
70	BIH	Bosnia and Herzegovina	8370020196.19158	1276	9077454	26947
112	BLR	Belarus	17825436034.5366	996	4888728	12776
84	BLZ	Belize	990350000	414	3294506	10922
68	BOL	Bolivia	8082396525.99433	402	3681253	10308
76	BRA	Brazil	552469288267.793	2424	12102945	32005
52	BRB	Barbados	3271200000	342	2542869	7487
64	BTN	Bhutan	622026107.771576	552	3132760	8245
72	BWA	Botswana	7511538764.70587	139	1154682	2889
140	CAF	Central African Republic	1139754771.91102	557	2733055	6687
124	CAN	Canada	887751766469.203	3417	14180797	41982
756	CHE	Switzerland	351982634291.23	900	7055535	23274
152	CHL	Chile	77840186384.8224	1430	7410887	19636
156	CHN	China	1640958734587.31	3598	15920522	47263
120	CMR	Cameroon	13621738512.2581	956	4537626	11383
170	COL	Colombia	94684582573.3167	1023	7038812	20089
174	COM	Comoros	317562300.765468	109	1375712	3984
188	CRI	Costa Rica	17517536016.1874	273	2105051	5162
192	CUB	Cuba	35901500000	1614	7528766	21710
196	CYP	Cyprus	13319544758.4518	860	4993330	13832
203	CZE	Czech Republic	99300329682.0164	348	3304578	9155
276	DEU	Germany	2502313769751.69	809	4940123	15076
262	DJI	Djibouti	622044665.515049	155	1819059	5571
212	DMA	Dominica	350091216.039388	92	1002182	2597
208	DNK	Denmark	218095997085.477	2063	11934319	37996
214	DOM	Dominican Republic	21268012747.2709	428	3088770	8806
12	DZA	Algeria	67863832648.2897	721	6797727	19565
218	ECU	Ecuador	32432859000	898	5252818	12692
232	ERI	Eritrea	870247701.706937	275	2382397	6381
724	ESP	Spain	906853273137.698	3334	16565176	45770
233	EST	Estonia	9822143179.76513	981	5722888	17295
231	ETH	Ethiopia	8623691300.04079	1109	6232319	16459
246	FIN	Finland	171071106094.808	656	5122395	13520
242	FJI	Fiji	2315935752.71653	343	2428571	6108
250	FRA	France	1848124153498.87	1730	10752330	34546
266	GAB	Gabon	6054883172.03912	185	2259207	6708
826	GBR	United Kingdom	1943714285714.29	8628	35289924	107339
288	GHA	Ghana	7632720680.28119	947	8538852	21475
324	GIN	Guinea	3446442218.89829	225	1499153	3969
624	GNB	Guinea-Bissau	476388249.275291	286	1784413	5321
226	GNQ	Equatorial Guinea	2484745875.82124	167	1412177	3962
300	GRC	Greece	201547404063.205	3233	12349644	35028
308	GRD	Grenada	591018396.969646	124	1579737	4471
320	GTM	Guatemala	21917565499.915	1322	4848474	13327
328	GUY	Guyana	741929342.788749	569	3495270	9188
340	HND	Honduras	8140294079.50891	722	3315102	6948
191	HRV	Croatia	34658113497.39	1843	9363305	26635
332	HTI	Haiti	2826481071.96147	1113	5020928	12590
348	HUN	Hungary	84738408726.1486	1099	6609895	16810
360	IDN	Indonesia	234772458818.096	1109	6315182	17660
356	IND	India	618356467437.027	5042	24381167	70861
352	ISL	Iceland	11324394790.7025	744	5735302	17749
376	ISR	Israel	125467161458.905	7951	25677910	65553
380	ITA	Italy	1570330699774.27	1847	9978083	33234
388	JAM	Jamaica	9430236065.12236	363	3393538	9123
400	JOR	Jordan	10193023726.215	914	5592938	15060
392	JPN	Japan	4302939184963.79	3366	16441329	44822
398	KAZ	Kazakhstan	30833692831.3955	760	5030223	15433
404	KEN	Kenya	14904517649.8476	1096	8286607	20012
116	KHM	Cambodia	4658246906.65996	851	5165635	13715
296	KIR	Kiribati	90148518.0621311	112	990189	3050
414	KWT	Kuwait	47875837662.1539	837	5585031	12697
422	LBN	Lebanon	20082918739.6352	2103	10491745	28502
430	LBR	Liberia	409000000	365	1718839	3951
434	LBY	Libya	24062500000	1912	8030270	20645
438	LIE	Liechtenstein	3070803431.476	175	1092252	2825
144	LKA	Sri Lanka	18881765437.2151	1869	11872045	31454
426	LSO	Lesotho	969167242.460273	83	1161694	3443
440	LTU	Lithuania	18608709856.5781	505	2661259	8709
442	LUX	Luxembourg	29095033860.0451	445	4297239	12666
428	LVA	Latvia	11186452600.7262	794	5572986	17451
504	MAR	Morocco	49822651701.729	1463	8889048	23442
492	MCO	Monaco	3588988600.70294	288	2060126	5928
498	MDA	Moldova	1980901553.51226	644	2743879	7589
450	MDG	Madagascar	5474030227.59457	635	4426741	10294
462	MDV	Maldives	949867661.833266	178	1780819	5626
484	MEX	Mexico	713284260879.765	1935	10624402	27978
584	MHL	Marshall Islands	126887585.4517	97	1014048	3239
466	MLI	Mali	4362439886.7199	625	3401409	9256
470	MLT	Malta	5119621569.32049	685	4545131	14276
499	MNE	Montenegro	1707662607.75	1239	6874308	19854
496	MNG	Mongolia	1595297301.45651	1667	8899314	27064
508	MOZ	Mozambique	4666197195.03197	510	3320356	8927
478	MRT	Mauritania	1285178265.97727	494	2817073	7565
480	MUS	Mauritius	5609836353.56371	224	2507536	7547
454	MWI	Malawi	2424656666.0654	750	3050315	7024
458	MYS	Malaysia	110202368421.053	1583	8991892	26779
516	NAM	Namibia	4931280096.42091	704	4735890	11635
562	NER	Niger	2731416281.32537	711	3238542	8754
566	NGA	Nigeria	67655840108.1547	1168	7926035	20332
